iter	Passed	Remaining
415	5196	7295
416	5218	7295
417	5231	7283
418	5252	7283
419	5275	7284
420	5296	7283
421	5317	7282
422	5337	7280
423	5355	7274
424	5362	7255
425	5369	7234
426	5377	7216
427	5386	7198
428	5393	7178
429	5399	7157
430	5406	7137
431	5413	7117
432	5419	7097
433	5426	7077
434	5433	7057
435	5440	7037
436	5447	7018
437	5454	6999
438	5461	6979
439	5468	6959
440	5475	6940
441	5482	6921
442	5489	6902
443	5496	6883
444	5507	6869
445	5517	6853
446	5526	6837
447	5537	6823
448	5548	6809
449	5555	6790
450	5562	6771
451	5569	6752
452	5576	6733
453	5583	6714
454	5590	6695
455	5598	6678
456	5606	6660
457	5624	6656
458	5643	6651
459	5650	6633
460	5657	6614
461	5664	6596
462	5671	6578
463	5678	6559
464	5685	6541
465	5692	6523
466	5699	6504
467	5706	6486
468	5713	6468
469	5720	6450
470	5727	6432
471	5733	6414
472	5740	6396
473	5748	6378
474	5755	6360
475	5762	6343
476	5769	6325
477	5776	6308
478	5783	6291
479	5791	6273
480	5798	6256
481	5805	6239
482	5812	6221
483	5819	6204
484	5826	6187
485	5833	6169
486	5840	6152
487	5847	6134
488	5854	6117
489	5861	6100
490	5868	6083
491	5875	6066
492	5882	6049
493	5889	6032
494	5896	6015
495	5903	5998
496	5910	5982
497	5917	5965
498	5924	5948
499	5931	5931
500	5938	5915
501	5946	5898
502	5952	5881
503	5959	5865
504	5966	5848
505	5973	5831
506	5980	5814
507	5986	5798
508	5993	5781
509	6000	5764
510	6006	5748
511	6013	5731
512	6020	5715
513	6027	5699
514	6034	5682
515	6041	5666
516	6048	5650
517	6055	5634
518	6062	5618
519	6070	5603
520	6077	5587
521	6084	5571
522	6091	5555
523	6098	5539
524	6104	5523
525	6112	5508
526	6120	5493
527	6127	5477
528	6135	5463
529	6142	5447
530	6149	5431
531	6156	5416
532	6163	5400
533	6170	5385
534	6177	5369
535	6184	5353
536	6192	5339
537	6198	5323
538	6205	5307
539	6213	5292
540	6220	5277
541	6227	5262
542	6234	5247
543	6241	5231
544	6248	5216
545	6254	5200
546	6261	5185
547	6268	5170
548	6275	5155
549	6282	5140
550	6289	5125
551	6296	5110
552	6304	5095
553	6310	5080
554	6317	5065
555	6326	5051
556	6333	5037
557	6341	5022
558	6348	5008
559	6356	4994
560	6363	4979
561	6370	4964
562	6377	4949
563	6384	4935
564	6391	4920
565	6398	4906
566	6405	4891
567	6412	4876
568	6419	4862
569	6426	4847
570	6432	4833
571	6439	4818
572	6447	4804
573	6454	4790
574	6461	4775
575	6469	4761
576	6476	4748
577	6484	4734
578	6494	4722
579	6515	4718
580	6525	4706
581	6534	4693
582	6541	4679
583	6548	4664
584	6555	4650
585	6562	4636
586	6569	4621
587	6576	4607
588	6583	4593
589	6590	4579
590	6597	4565
591	6604	4551
592	6611	4537
593	6617	4523
594	6624	4509
595	6631	4495
596	6638	4481
597	6645	4467
598	6651	4453
599	6658	4439
600	6665	4425
601	6672	4411
602	6679	4397
603	6685	4383
604	6692	4369
605	6699	4355
606	6706	4342
607	6713	4328
608	6720	4314
609	6727	4301
610	6734	4287
611	6741	4273
612	6747	4260
613	6755	4246
614	6761	4233
615	6768	4219
616	6775	4206
617	6782	4192
618	6790	4179
619	6797	4166
620	6804	4152
621	6811	4139
622	6818	4125
623	6824	4112
624	6831	4098
625	6838	4085
626	6845	4072
627	6852	4058
628	6862	4047
629	6869	4034
630	6876	4021
631	6883	4008
632	6890	3995
633	6897	3982
634	6904	3968
635	6911	3955
636	6918	3942
637	6925	3929
638	6931	3916
639	6938	3902
640	6945	3890
641	6952	3877
642	6959	3864
643	6966	3850
644	6972	3837
645	6979	3824
646	6986	3811
647	6993	3798
648	7001	3786
649	7008	3773
650	7015	3761
651	7023	3748
652	7029	3735
653	7036	3722
654	7043	3709
655	7049	3696
656	7056	3684
657	7063	3671
