iter	Logloss
198	0.2842085935
199	0.2839980457
200	0.2838996995
201	0.2838160527
202	0.2836877626
203	0.2836100759
204	0.283333528
205	0.2832388765
206	0.283153787
207	0.283071913
208	0.2828743215
209	0.2827401439
210	0.2826254503
211	0.2825506327
212	0.2823858911
213	0.2822584572
214	0.2821455224
215	0.282023646
216	0.2819658004
217	0.2818558781
218	0.2817424115
219	0.2816769304
220	0.2815888823
221	0.2814683913
222	0.2814248183
223	0.2813224338
224	0.2812286488
225	0.281136256
226	0.2810740156
227	0.2809915233
228	0.2808063431
229	0.2806939505
230	0.280542384
231	0.2804883509
232	0.2803437927
233	0.2802637102
234	0.2801305364
235	0.2800395753
236	0.2799192339
237	0.2798064232
238	0.2797360979
239	0.2796353328
240	0.2795084982
241	0.2794054124
242	0.2793410739
243	0.2792579375
244	0.2792221934
245	0.279114227
246	0.2790059619
247	0.278866303
248	0.2787788038
249	0.2786934613
250	0.278558005
251	0.2784301261
252	0.278348628
253	0.2781632816
254	0.2780423799
255	0.2779481659
256	0.2778463723
257	0.2777137258
258	0.2776497811
259	0.2775821955
260	0.2774973982
261	0.2774243846
262	0.2773278009
263	0.2772539461
264	0.2771595365
265	0.2771171615
266	0.2769835352
267	0.2769059615
268	0.2768497501
269	0.2767851845
270	0.2767147149
271	0.2763517168
272	0.2762733715
273	0.2761972269
274	0.2760816922
275	0.2760099915
276	0.2758820908
277	0.2756209181
278	0.2755223054
279	0.2751352154
280	0.2750190351
281	0.2749240172
282	0.2748259007
283	0.2747295978
284	0.2746540373
285	0.2743589956
286	0.2741767618
287	0.2741300488
288	0.2740252682
289	0.2739044034
290	0.2738193491
291	0.2737310698
292	0.2734100918
293	0.2733429538
294	0.2732847383
295	0.2731864421
296	0.2730837556
297	0.2729835865
298	0.2728955179
299	0.2728185206
300	0.2727195923
301	0.2725826179
302	0.2724585954
303	0.2723827045
304	0.2723205559
305	0.2722041726
306	0.2721073842
307	0.271994998
308	0.2718941958
309	0.2718328986
310	0.2717264325
311	0.2716309588
312	0.2712542785
313	0.2711709105
314	0.2710599492
315	0.2709932616
316	0.2707219552
317	0.2706340443
318	0.2705497988
319	0.270394295
320	0.2703327414
321	0.2702484443
322	0.2700895356
323	0.2699938617
324	0.2698977511
325	0.2698558142
326	0.2697711911
327	0.2697140363
328	0.26962029
329	0.2694737499
330	0.2692959696
331	0.2692533004
332	0.2692042145
333	0.2691256731
334	0.2690129262
335	0.2689342065
336	0.2688616805
337	0.2685389507
338	0.2684073372
339	0.2683505311
340	0.2682469495
341	0.268155441
342	0.2680839052
343	0.2680086699
344	0.2679430798
345	0.2678660329
346	0.2678199165
347	0.2677554247
348	0.2676777897
349	0.267599958
350	0.2675223926
351	0.2674150596
352	0.2673124632
353	0.2672219341
354	0.2671239925
355	0.2670695288
356	0.2669867379
357	0.2668750508
358	0.2668088724
359	0.2667305416
360	0.2666589146
361	0.2666091614
362	0.2665287961
363	0.26645617
364	0.2663938207
365	0.266336484
366	0.2662668371
367	0.2661998532
368	0.2661521426
369	0.2661044171
370	0.2660793555
371	0.2660408597
372	0.2659347414
373	0.2658480312
374	0.2657220211
375	0.2656363729
376	0.2655494637
377	0.2654400243
378	0.2653685039
379	0.2652708859
380	0.2651926306
381	0.2650944067
382	0.2650061525
383	0.2649456043
384	0.2646724939
385	0.2644101393
386	0.2643184926
387	0.2642830062
388	0.2642230916
389	0.2640115983
390	0.2637448039
391	0.2636678897
392	0.2634986855
393	0.2634091449
394	0.2633437078
395	0.2632132315
396	0.2631552903
397	0.2630843037
398	0.2629939897
399	0.2629230059
400	0.2628782637
401	0.262842192
402	0.262765462
403	0.2626797865
404	0.2625881948
405	0.2625455349
406	0.26246089
407	0.2623295988
408	0.2622211142
409	0.2621433872
410	0.2620941526
411	0.2620381629
412	0.2619551945
413	0.2618601543
414	0.2617768716
415	0.2617446238
416	0.2616576684
417	0.2615943679
418	0.2615141278
419	0.2614489224
420	0.2613682343
421	0.2612692643
422	0.2612411268
423	0.2611893351
424	0.2611246948
425	0.261068422
426	0.2610036006
427	0.2609246768
428	0.2608120027
429	0.2607816273
430	0.2607369813
431	0.2607045064
432	0.2606587017
433	0.2605873928
434	0.2605225934
435	0.2604650536
436	0.260375926
437	0.2602966073
438	0.2602246553
439	0.2601619428
440	0.260077882
441	0.2600128779
442	0.2599333461
443	0.2598728232
444	0.2598358393
445	0.2597523037
446	0.2596910141
447	0.2596558961
448	0.2595733785
449	0.2595096351
450	0.2594564654
451	0.2593675543
452	0.2593231356
453	0.2592902513
454	0.2592403864
455	0.2591463154
456	0.2590900091
457	0.2589641485
458	0.2589074704
459	0.2588474331
460	0.2587588789
461	0.2586870859
462	0.2586141394
463	0.2585473222
464	0.2584771601
465	0.2584201672
466	0.2583381
467	0.2582691544
468	0.2581940231
469	0.2581039175
470	0.2579974753
471	0.2579396172
472	0.2578743519
473	0.2578175787
474	0.2577313272
475	0.2576463488
476	0.2575987403
477	0.2575134916
478	0.2574274272
479	0.2573574229
480	0.2572996586
481	0.2572536793
482	0.2571914195
483	0.257093508
484	0.2570172127
485	0.2569862995
486	0.2569179611
487	0.2568807813
488	0.2568038777
489	0.2567241963
490	0.2566761134
491	0.2566201971
492	0.2565649818
493	0.2563838985
494	0.2563092263
495	0.2562334098
496	0.2561792515
497	0.2561217596
498	0.2560807671
499	0.2560369903
500	0.2559178624
501	0.2558358795
502	0.2557973332
503	0.2557420523
504	0.2556823235
505	0.2556250935
506	0.2555856009
507	0.2554986092
508	0.2554502864
509	0.2554040581
510	0.2553519968
511	0.2553127818
512	0.255291885
513	0.255232971
514	0.2551612033
515	0.2550828589
516	0.254995188
517	0.2549424257
518	0.2548755893
519	0.2548004145
520	0.2546452108
521	0.2545957868
522	0.2545316411
523	0.2544908388
524	0.2544445979
525	0.2543847084
526	0.2543097889
527	0.2542403164
528	0.2541986878
529	0.2541522397
530	0.2540832054
531	0.2540103399
532	0.2539128177
533	0.2538286448
534	0.2538017943
535	0.2537569836
536	0.2536985576
537	0.2536338109
538	0.2535814086
539	0.2535144998
540	0.2534411731
541	0.2533780225
542	0.2533234548
543	0.2532811878
544	0.253212463
545	0.2531859839
546	0.2531365915
547	0.2530763819
548	0.253030083
549	0.2529606775
550	0.2528790886
551	0.2528163546
552	0.2527377857
553	0.2527128476
554	0.2526655754
555	0.2526150908
556	0.2525558658
557	0.2525274165
558	0.252458968
559	0.2523997361
560	0.2523604466
561	0.2523265509
562	0.2522712931
563	0.2522080318
564	0.2521456615
565	0.2520969385
566	0.252024628
567	0.251958556
568	0.2518943484
569	0.2518523999
570	0.2517936752
571	0.2517328836
572	0.2516684508
573	0.2516365193
574	0.2515782328
575	0.2515156209
576	0.2514688266
577	0.251433148
578	0.2513969754
579	0.2513344095
580	0.251269786
581	0.2512092067
582	0.2511478926
583	0.2510897192
584	0.2510488609
585	0.2510170183
586	0.2509468182
587	0.2508771255
588	0.250820687
589	0.250765216
590	0.2506804711
591	0.2506096343
592	0.2505677608
593	0.2505440566
594	0.2504847333
595	0.250407246
596	0.2503604899
597	0.250326989
598	0.2502727347
599	0.2502255286
600	0.2501906035
601	0.2501325882
602	0.2500999284
603	0.2500449319
604	0.2499977609
605	0.2499426075
606	0.249874514
607	0.2498199788
608	0.249776412
609	0.2497092177
610	0.2496414834
611	0.249610696
612	0.249552435
613	0.2495005233
614	0.249438093
615	0.24939699
616	0.2493112393
617	0.24924832
618	0.2491829472
619	0.2491265212
620	0.2491002685
621	0.2490584903
622	0.2490138355
623	0.2489776548
624	0.2489504095
625	0.2489071371
626	0.2488578077
627	0.2488274837
628	0.2487721913
629	0.2487200337
630	0.2486598313
631	0.2486079942
632	0.2485551262
633	0.2484888615
634	0.2484528826
635	0.2484153972
636	0.2483829592
637	0.2483491514
638	0.2483203033
639	0.2482745696
640	0.2482180679
641	0.2481789706
642	0.2481390377
643	0.2480996377
644	0.2480581452
645	0.2480046
646	0.2479812248
647	0.2479356254
648	0.2478855035
649	0.2477959522
650	0.2477395648
651	0.2476478
652	0.2476385826
653	0.2476051956
654	0.2475717243
655	0.2475290086
656	0.2474623834
657	0.2474157972
658	0.247364966
659	0.2473242361
660	0.2472363878
661	0.2471647949
662	0.2470992595
663	0.2470710109
664	0.2470311773
665	0.2469383058
666	0.2468982353
667	0.2468257085
668	0.2467793262
669	0.2467527577
670	0.2467172345
671	0.2465944812
672	0.246556432
673	0.2465177329
674	0.2464957576
675	0.246460602
676	0.2464233906
677	0.2463776567
678	0.2463241466
679	0.2462938602
680	0.2462394147
681	0.2461942512
682	0.2461670137
683	0.2461131052
684	0.2460374246
685	0.2459990905
686	0.2459367532
687	0.2458916123
688	0.2458156074
689	0.2457862228
690	0.2457347796
691	0.2456831221
692	0.245654164
693	0.2456181528
694	0.245570618
695	0.2455428346
696	0.2454888074
697	0.2454453902
698	0.2453940111
699	0.2453265026
700	0.2453059939
701	0.2452447106
702	0.2451942102
703	0.2451269848
704	0.2450724834
705	0.2449806319
706	0.2449158909
707	0.2448559529
708	0.2447849541
709	0.2447407967
710	0.2447007294
711	0.244664047
712	0.2446172708
713	0.2445839417
714	0.2445079137
715	0.2444594647
716	0.244422595
717	0.2444034826
718	0.244375377
719	0.244315887
720	0.2442728094
721	0.2442145909
722	0.2441837661
723	0.2441233663
724	0.2440916968
725	0.2440538334
726	0.2439711883
727	0.2439031882
728	0.2438855431
729	0.2438545856
730	0.2437919875
731	0.2436927778
732	0.2436296798
733	0.2436089319
734	0.2435740246
735	0.2435195335
736	0.2434634131
737	0.243441807
738	0.2433836009
739	0.2433185293
740	0.2432847305
741	0.2432550439
742	0.2432039457
743	0.2431617036
744	0.2431069606
745	0.243065088
746	0.2430022227
747	0.2429552842
748	0.242918038
749	0.2428814726
750	0.2428030689
751	0.2427863543
752	0.2427484634
753	0.2427021111
754	0.2426531186
755	0.242575679
756	0.2425410548
757	0.2425058553
758	0.2424569268
759	0.2424123701
760	0.2423969098
761	0.2423503326
762	0.242301563
763	0.2422404829
764	0.2421995132
765	0.2421354603
766	0.2420988268
767	0.2420368476
768	0.2420073819
769	0.2419641214
770	0.2419054273
771	0.2418658044
772	0.24184584
773	0.2417980207
774	0.241741576
775	0.241692352
776	0.2416764271
777	0.2416412699
778	0.2415924688
779	0.2415446163
780	0.2414950875
781	0.2414457291
782	0.2413815313
783	0.2413573513
784	0.2413273717
785	0.2412569188
786	0.2411934216
787	0.2411576684
788	0.2410899736
789	0.241056138
790	0.2410235148
791	0.2409736752
792	0.240924376
793	0.2408745472
794	0.2408345465
795	0.2407981397
796	0.2407560569
797	0.240706668
798	0.240650704
799	0.2406283453
800	0.2405790793
801	0.2405580743
802	0.2405232741
803	0.2404863315
804	0.2404610183
805	0.2404383243
806	0.2404158849
807	0.2403861625
808	0.2403611629
809	0.2403062784
810	0.2402642995
811	0.2402313767
812	0.2401864534
813	0.240155376
814	0.2400856861
815	0.2400453881
816	0.2399863451
817	0.2399172605
818	0.2398942941
819	0.2398562571
820	0.2398305987
821	0.2397855442
822	0.2397712162
823	0.2397036221
824	0.2396710199
825	0.239643079
826	0.2396054916
827	0.2395632126
828	0.2394880921
829	0.2394265344
830	0.2393719566
831	0.2393370202
832	0.2392816963
833	0.2392360175
834	0.2391993074
835	0.2391552631
836	0.239117834
837	0.2390542841
838	0.2390106318
839	0.2389725905
840	0.2389061844
841	0.2388471399
842	0.238818045
843	0.2387689565
844	0.2387114216
845	0.2386551025
846	0.2385935994
847	0.2385375341
848	0.2384810123
849	0.2384602335
850	0.2384175656
851	0.2383847872
852	0.2383233493
853	0.2382653747
854	0.2382254288
855	0.2382125661
856	0.2381744619
857	0.23814854
858	0.2381184767
859	0.2380843594
860	0.2380455257
861	0.237983653
862	0.2379546383
863	0.2378900269
864	0.2378803945
865	0.2378442914
866	0.237799742
867	0.2377151382
868	0.2376734981
869	0.237617225
870	0.237559325
871	0.2375518701
872	0.2375400609
873	0.2374884667
874	0.2374407306
875	0.2374206373
876	0.2373643705
877	0.2373280923
878	0.2372834135
879	0.2372627149
880	0.2371937273
881	0.237156297
882	0.237109327
883	0.2370569368
884	0.2369997727
885	0.2369698437
886	0.2369276965
887	0.2368836138
888	0.2368354857
889	0.2367898261
890	0.2367308513
891	0.2366832646
892	0.2366188709
893	0.2365653252
894	0.236534908
895	0.236508975
896	0.2364678852
897	0.2364557743
898	0.2364449562
899	0.2364283521
900	0.2364101
901	0.2363749973
902	0.236331112
903	0.2363102531
904	0.2362754931
905	0.2362065069
906	0.2361476364
907	0.2360959968
908	0.2360598646
909	0.2360163714
910	0.2359948104
911	0.2359596621
912	0.2358704909
913	0.2358449784
914	0.2357984266
915	0.2357512966
916	0.2357199316
917	0.2356864992
918	0.2356617809
919	0.2356549234
920	0.2356407181
921	0.2355944758
922	0.2355460164
923	0.235518782
924	0.2354956732
925	0.2354651287
926	0.2354225949
927	0.2353902247
928	0.235346018
929	0.2353001122
930	0.2352504309
931	0.2352223037
932	0.2351893194
933	0.2351717649
934	0.2351527848
935	0.235110752
936	0.2350618199
937	0.2350135323
938	0.2349801831
939	0.2349507391
940	0.2348805646
941	0.2348377569
942	0.2347981967
943	0.2347816352
944	0.2347269762
945	0.2346981489
946	0.2346526585
947	0.234595065
948	0.2345632796
949	0.2345497742
950	0.2344977591
951	0.2344346543
952	0.2343455427
953	0.2343012771
954	0.2342821441
955	0.2342474475
956	0.2341860209
957	0.2341328991
958	0.2340655151
959	0.2340462916
960	0.2339889039
961	0.2339628624
962	0.2339242883
963	0.2338561395
964	0.2337774967
965	0.2337442298
966	0.2336713016
967	0.2336598167
968	0.2336187607
969	0.2335588776
970	0.2335161627
971	0.2334758985
972	0.2334203633
973	0.2333580047
974	0.2333152623
975	0.2332647193
976	0.2332190273
977	0.2331614735
978	0.2331281796
979	0.2330787364
980	0.233028217
981	0.2329855431
982	0.2329378089
983	0.2328873523
984	0.232852087
985	0.2328268108
986	0.2328116908
987	0.2327436395
988	0.2327030361
989	0.2326692617
990	0.2326430036
991	0.2326009453
992	0.232550436
993	0.2324877879
994	0.2324475958
995	0.232415307
996	0.2323510462
997	0.2323198034
998	0.2322986391
999	0.2322556696
